,text,embeddings,distances
106,"July 21 – The Parliament of Sri Lanka elects Prime Minister Ranil Wickremesinghe as President of Sri Lanka, following the resignation of Gotabaya Rajapaksa amid protests over the ongoing economic crisis.","[ 0.0094473  -0.00217566 -0.02259275 ... -0.00516541  0.01190222
 -0.00266632]",0.2557370679496746
145,"October 1 – A fatal human crush occurs during an association football match at Kanjuruhan Stadium in Malang Regency, East Java, Indonesia, killing 135 people and injuring more than 500.","[-0.00254981  0.00240576  0.01732548 ... -0.0111397   0.00499035
  0.00020459]",0.2558530097419661
109,July 27 – A 7.0 earthquake strikes the island of Luzon in the Philippines killing 11 people and injuring over 600.,"[ 0.00209247  0.00391836  0.00789454 ...  0.00774037  0.00154165
 -0.03103858]",0.2560440529913699
102,"July 8 – Former Prime Minister of Japan Shinzo Abe is assassinated while giving a public speech in the city of Nara, Japan.","[-0.0114296  -0.00540066 -0.01267347 ... -0.00143187 -0.00272413
 -0.01502793]",0.2560681780288341
171,"November 21 – A 5.6 earthquake strikes near Cianjur in West Java, Indonesia, killing 635 people and injuring 7,700 more.","[ 0.0040152  -0.00414158  0.02370879 ... -0.00300411  0.00032488
 -0.01350714]",0.2562519568595186
48,"March 12 – 2022 Turkmenistan presidential election: Serdar Berdimuhamedow, son of former President Gurbanguly Berdimuhamedow, wins with 89% of the total votes.","[-0.00121724 -0.01401543 -0.0277751  ...  0.00539006  0.02422009
 -0.00058424]",0.2568255270220692
44,March 9 – 2022 South Korean presidential election: People Power Party candidate Yoon Suk-yeol is narrowly elected President of South Korea.,"[-0.01134126 -0.03468207  0.02220605 ...  0.00885233  0.00037851
  0.00260178]",0.2569599192115122
126,"September 5 – A 6.8 earthquake strikes Luding County in Sichuan province, China, killing 117 and injuring 424.","[ 0.01268511  0.0162528   0.01473323 ...  0.00287067 -0.00360403
 -0.03007429]",0.2569813966749353
101,"July 7 – After revelations over his appointment of Chris Pincher as Deputy Chief Whip triggered a series of resignations from his government, UK Prime Minister Boris Johnson announces his intention to resign, triggering the July–September 2022 Conservative Party leadership election.","[-0.00718131 -0.01094627 -0.02639274 ...  0.00682003  0.01096528
 -0.00850602]",0.2570339702407337
21,"February 6 – Queen Elizabeth II celebrates her ""Platinum Jubilee"", marking 70 years as Queen of the United Kingdom.","[-0.0158211  -0.01431079 -0.01587062 ...  0.01714571  0.00895043
 -0.0059391 ]",0.2579854368994598
121,"August 27 – September 11 – The 2022 Asia Cup is held in the United Arab Emirates, and is won by Sri Lanka.","[-0.00758068 -0.01419279  0.02229004 ... -0.01572959  0.01232668
  0.01046056]",0.2592726686556827
175,"December 7 – The Congress of Peru removes President Pedro Castillo from office and arrests him after he tries to dissolve congress in a coup attempt, Vice President Dina Boluarte succeeds him.","[-0.02189468  0.01287693 -0.01435823 ...  0.01431925 -0.00177854
 -0.00305681]",0.259674473543661
115,August 6 – Terrance Drew is sworn in as prime minister of Saint Kitts and Nevis.,"[-0.00315788 -0.00878204 -0.03416255 ... -0.00178936  0.01026964
  0.00550998]",0.260165863863173
50,"March 19 – The apostolic constitution Praedicate evangelium, reforming the Roman Curia, is promulgated by Pope Francis, coming into force on 5 June.","[ 0.00095898 -0.01342238 -0.0091477  ...  0.01287725  0.00657158
 -0.02459773]",0.260219425473711
169,November 20–December 18 – The 2022 FIFA World Cup is held in Qatar and won by Argentina.,"[ 0.00301116 -0.01559018  0.01315461 ... -0.00761116 -0.00068976
 -0.01523499]",0.2610006346792621
154,"October 29 – A double car bombing by al-Shabaab in Mogadishu, Somalia kills at least 121 people and injures around 300.","[-0.0176332  -0.00501412  0.00924841 ... -0.01022158  0.00227182
  0.00383148]",0.2610051692821439
47,March 11 – Gabriel Boric is sworn in as President of Chile. He becomes the youngest head of state in the nation's history and the first to be born during the military dictatorship of Augusto Pinochet.,"[-0.01250699 -0.00961022 -0.00769209 ... -0.0108694  -0.01257876
  0.00230469]",0.2611425491505834
4,January 2 – Abdalla Hamdok resigns as Prime Minister of Sudan amid deadly protests.,"[-0.01513854  0.00115732 -0.02068717 ... -0.00151061  0.00817351
  0.00743933]",0.2611600362752604
153,"October 29 – At least 158 people are killed and another 197 injured in a crowd crush during Halloween festivities in Seoul, South Korea.","[ 0.00078768 -0.00040827  0.02292379 ... -0.00726946 -0.01260295
  0.00193596]",0.2612384586073472
105,"July 19 – 2022 European heat waves: A series of severe heatwaves from July to August hit Europe, causing at least 53,000 deaths and additionally causing major wildfires, travel disruption, and record high temperatures in many countries.","[-0.00191391 -0.01515715  0.00482973 ... -0.01648019  0.00494534
 -0.01547827]",0.2616662063472899
76,May 9 – Prime Minister of Sri Lanka Mahinda Rajapaksa resigns as a result of massive protests against his government across the country. He is succeeded by Ranil Wickremesinghe as prime minister three days later.,"[-0.00148327  0.0007535  -0.01456851 ... -0.01820114 -0.00415158
  0.00429081]",0.2618238238949634
54,March 29 – The Democratic Republic of the Congo is admitted to the East African Community.,"[ 0.00393963  0.00443248  0.0059363  ...  0.00910506 -0.00935149
 -0.00164757]",0.2618485216646442
180,"December 21–December 26 – A major winter storm hits the northern United States and southern Canada. Killing at least 91 people, the storm also severely disrupts North American air traffic, with Southwest Airlines alone canceling more than half of its schedule.","[-0.02478628 -0.02389226  0.00332341 ...  0.00493652 -0.00829232
 -0.00792306]",0.2620602790802955
111,"July 31 – Ayman al-Zawahiri, the Egyptian terrorist who became the 2nd Emir of al-Qaeda after Osama bin Laden's death in 2011, is killed in an airstrike in Kabul, Afghanistan conducted by the United States' Central Intelligence Agency.","[-0.03541301 -0.01222685 -0.01515843 ...  0.01091381 -0.0013886
 -0.0069032 ]",0.2621213498880599
16,January 28 – COVID-19 pandemic: The number of vaccinations administered worldwide exceeds 10 billion.,"[-0.00761801 -0.00766813 -0.00296482 ... -0.00693515  0.00694768
 -0.017128  ]",0.2621920954859007
